W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
4,HIGH → LOW → MEDIUM → HIGH,LOW,39,0.16047110783952886,-3.593032023440634,0.00032685240071317345,1.0,0.18,1.0,0.0006239909468160584
4,MEDIUM → HIGH → HIGH → LOW,MEDIUM,33,1.8652723074833628,3.5768658120427435,0.0003477385652899123,1.0,0.185,1.0,0.000660113886652037
4,HIGH → HIGH → LOW → MEDIUM,LOW,49,0.25544380431598473,-3.5718125547187287,0.00035451912198247726,1.0,0.187,1.0,0.0006692046347534402
2,HIGH → LOW,LOW,364,1.2730140672724406,3.5682188464542146,0.0003594162494759967,1.0,0.188,1.0,0.000674658434770586
4,LOW → HIGH → MEDIUM → HIGH,MEDIUM,48,1.7098329485264159,3.5389110436844984,0.0004017812221239758,1.0,0.193,1.0,0.0007499916146314216
3,MEDIUM → LOW → HIGH,LOW,155,0.5856234828607109,-3.5348046572820473,0.00040807671339870843,1.0,0.193,1.0,0.0007575346723865527
3,HIGH → LOW → HIGH,LOW,58,0.32379895306805057,-3.52853369695899,0.0004178687419431615,1.0,0.194,1.0,0.0007714499851258366
4,LOW → MEDIUM → MEDIUM → HIGH,MEDIUM,125,1.4303973923672415,3.462721081951139,0.0005347424040813564,1.0,0.222,1.0,0.000981822118969048
2,HIGH → MEDIUM,HIGH,1900,1.109562097225611,3.424899462931312,0.0006150269660831764,1.0,0.243,1.0,0.0011230927206736265
4,HIGH → HIGH → LOW → MEDIUM,MEDIUM,49,1.6749383985564892,3.3998131538753644,0.0006743191483979949,1.0,0.244,1.0,0.0012247093722255475
4,HIGH → MEDIUM → MEDIUM → LOW,MEDIUM,121,1.4292346252145247,3.397663043506972,0.0006796407526126202,1.0,0.245,1.0,0.00122773813375183
4,HIGH → LOW → HIGH → HIGH,HIGH,24,1.9650368751707186,3.3876975412605086,0.0007048194170655719,1.0,0.248,1.0,0.0012664134980429529
