pair,Date,rv_kiem,n_o,j_bcl,j_tho,n_nhay_bcl,n_nhay_tho,ti_chuky
AUDUSD,2025-07-09,3.5358292332543476e-05,287,5.7163910021655045e-06,7.103710112298934e-06,4,4,1.0342278846937556
AUDUSD,2025-07-10,2.9484006028823783e-05,287,1.223857173902921e-05,1.3284945818165643e-05,3,4,1.4385816598279921
AUDUSD,2025-07-11,3.8203324810723985e-05,251,6.825485614719779e-06,1.1434422695691165e-05,2,5,0.9244220764592119
AUDUSD,2025-07-14,2.045156401027846e-05,287,0.0,9.226824382181073e-07,0,1,1.184711982413026
AUDUSD,2025-07-15,3.8779409565623335e-05,287,1.7787411993248288e-05,1.9986144054699997e-05,5,7,0.7237497721203912
AUDUSD,2025-07-16,4.165232823653865e-05,287,8.581431935563967e-06,1.9272068741081676e-05,4,11,0.9132550644518187
AUDUSD,2025-07-17,3.473132910385682e-05,287,1.2801428211030773e-05,1.2561354324478512e-05,5,3,0.7662194238774945
AUDUSD,2025-07-18,1.4606538078916232e-05,251,0.0,7.623531720760568e-07,0,1,0.8952106843767731
AUDUSD,2025-07-21,1.759096097792696e-05,287,2.176598245698261e-06,3.0229352161041335e-06,2,2,1.3388648668898895
AUDUSD,2025-07-22,2.1645422373918213e-05,287,5.342426471010219e-06,5.006372853486224e-06,3,2,1.3102601170946548
AUDUSD,2025-07-23,2.099591915340128e-05,287,2.401531599462432e-06,2.401531599462432e-06,2,2,0.90952486904094
AUDUSD,2025-07-24,2.005799266600534e-05,287,3.1685116625616845e-06,4.134086072246864e-06,3,4,0.8953553907531314
AUDUSD,2025-07-25,1.8133280181736885e-05,251,4.327362974354123e-06,4.327362974354123e-06,3,3,0.9304038168604778
AUDUSD,2025-07-28,2.5441278362759776e-05,287,2.731041818286962e-06,5.250495519329737e-06,2,4,1.116470947404494
