Date,rv5,rq5,bpv5,rsp,rsn,n5,pair
2014-09-01,2.736731912764009e-06,9.240308650862448e-12,2.680925105049768e-06,1.3289308059183507e-06,1.407801106845658e-06,287,USDCAD
2014-09-02,9.25454907244651e-06,1.4499627009421868e-10,1.0301867449851448e-05,6.138155698106842e-06,3.1163933743396664e-06,287,USDCAD
2014-09-03,1.884718673078051e-05,6.8240988739491035e-09,1.0855739606585849e-05,4.921272310618967e-06,1.3925914420161544e-05,287,USDCAD
2014-09-04,1.9353220313464272e-05,1.9345301592011704e-09,1.886338550917557e-05,7.642862482939945e-06,1.1710357830524324e-05,287,USDCAD
2014-09-05,1.0094459149526973e-05,3.2855293874370697e-10,1.0404590444330495e-05,5.430111567949619e-06,4.664347581577352e-06,251,USDCAD
2014-09-07,3.367556030234312e-07,1.7784071472585241e-13,2.597539901114494e-07,2.4778187699874564e-07,8.897372602468554e-08,35,USDCAD
2014-09-08,1.2254838884729956e-05,2.6441485145207417e-10,1.2613205316723478e-05,7.695479655972591e-06,4.559359228757366e-06,287,USDCAD
2014-09-09,2.064272646796159e-05,7.854203994554497e-10,1.8549644951153347e-05,1.0382597467652524e-05,1.0260129000309063e-05,287,USDCAD
2014-09-10,2.0244974875872663e-05,5.692406587075988e-10,2.0320162323960065e-05,9.26300849775448e-06,1.0981966378118184e-05,287,USDCAD
2014-09-11,2.1593764458222244e-05,7.992536707330201e-10,2.07833451063179e-05,1.2259898902147908e-05,9.333865556074336e-06,287,USDCAD
2014-09-12,1.872523856856072e-05,5.452286882085071e-10,1.7021190899920202e-05,1.0813134613799328e-05,7.912103954761382e-06,251,USDCAD
2014-09-14,1.9506567797026865e-07,7.349884067577071e-14,1.0299936335149705e-07,1.4064828921430348e-07,5.4417388755965134e-08,35,USDCAD
2014-09-15,1.1615274493328956e-05,2.1773925471027108e-10,1.195068067552176e-05,4.438628148093415e-06,7.176646345235541e-06,287,USDCAD
2014-09-16,1.695048312746261e-05,6.077872975662476e-10,1.7812192827082472e-05,5.398817103506003e-06,1.1551666023956604e-05,287,USDCAD
2014-09-17,5.205578786559144e-05,5.8262934423229094e-08,3.358704950900782e-05,3.691595689368941e-05,1.5139830971902018e-05,287,USDCAD
2014-09-18,1.916599153367214e-05,6.176083802716106e-10,1.9450549845538344e-05,8.038274226616661e-06,1.112771730705548e-05,287,USDCAD
2014-09-19,4.975107199322321e-05,5.675418140038708e-08,2.859139870045737e-05,1.372149342072128e-05,3.602957857250194e-05,251,USDCAD
2014-09-21,6.374796281039472e-07,1.156847340847652e-12,2.2601025129061214e-07,8.777983850750433e-08,5.496997895964428e-07,35,USDCAD
2014-09-22,1.6181201133497484e-05,4.5551594263345754e-10,1.5441744405513475e-05,1.0724307187058216e-05,5.45689394643927e-06,287,USDCAD
2014-09-23,2.6289729528211954e-05,2.897788168352181e-09,2.3105643272393303e-05,1.5446164300707284e-05,1.0843565227504674e-05,287,USDCAD
2014-09-24,2.022436359177818e-05,9.01019910912359e-10,1.980933376188035e-05,1.06318493302277e-05,9.59251426155048e-06,287,USDCAD
2014-09-25,2.0308691914025748e-05,9.690625996396038e-10,1.8221990344584667e-05,9.553200455997213e-06,1.0755491458028532e-05,287,USDCAD
2014-09-26,1.8495758866378894e-05,5.51386810361878e-10,1.742276015572252e-05,1.0724479902237572e-05,7.771278964141321e-06,251,USDCAD
2014-09-28,4.107592777829797e-07,1.4488504660981964e-13,4.157385664694809e-07,2.883101461200414e-07,1.2244913166293818e-07,35,USDCAD
2014-09-29,1.7119507249183646e-05,4.4441300508367864e-10,1.805278989500524e-05,8.711467678780746e-06,8.408039570402901e-06,287,USDCAD
2014-09-30,3.0110501094130587e-05,1.493812906659136e-08,2.4604787416054696e-05,2.126469430512457e-05,8.845806789006005e-06,287,USDCAD
2014-10-01,1.8999806944550065e-05,1.0781414254801254e-09,1.763941986371702e-05,6.986249212211448e-06,1.2013557732338612e-05,287,USDCAD
2014-10-02,3.51983601331756e-05,2.569451751309068e-09,3.179907537022354e-05,1.7375573267779298e-05,1.7822786865396293e-05,287,USDCAD
2014-10-03,2.455395819309501e-05,8.322084622674629e-09,1.5939662643467635e-05,1.932306883321104e-05,5.230889359883978e-06,251,USDCAD
2014-10-05,4.960440701576805e-07,6.78230805506255e-13,2.351206615123386e-07,3.542979064468292e-07,1.4174616371085113e-07,35,USDCAD
2014-10-06,2.3366225685582032e-05,1.7803775133337135e-09,2.105387623031793e-05,6.388348794944058e-06,1.6977876890637973e-05,287,USDCAD
2014-10-07,2.468429868569229e-05,1.1517595189248167e-09,2.2917021134748005e-05,1.3889446345352436e-05,1.079485234033986e-05,287,USDCAD
2014-10-08,5.123369998059293e-05,2.8001537495861948e-08,3.8213656608156594e-05,1.3133879070809736e-05,3.80998209097832e-05,287,USDCAD
2014-10-09,2.4603459546278684e-05,8.49360496224014e-10,2.6068779450339943e-05,1.5110160399252734e-05,9.493299147025951e-06,286,USDCAD
